time,low,high,open,close,volume
2021-06-01 01:00:00,2656.33,2733.17,2733.17,2659.9,19736.22238005
2021-06-01 02:00:00,2615.9,2675.85,2659.89,2645.9,18937.22858404
2021-06-01 03:00:00,2615.06,2679.0,2645.56,2631.28,16276.60429897
2021-06-01 04:00:00,2616.62,2659.88,2630.66,2637.46,7452.69798677
2021-06-01 05:00:00,2633.71,2714.16,2636.74,2699.64,11836.4709414
2021-06-01 06:00:00,2641.54,2703.97,2699.01,2658.93,8564.98597764
2021-06-01 07:00:00,2631.57,2679.58,2658.3,2653.72,7860.00637214
2021-06-01 08:00:00,2552.1,2672.46,2653.72,2575.65,21120.84966557
2021-06-01 09:00:00,2548.17,2598.95,2575.65,2574.91,7929.47016927
2021-06-01 10:00:00,2559.33,2624.79,2574.57,2612.48,8569.8660473
2021-06-01 11:00:00,2594.05,2638.66,2612.5,2624.7,8978.2647162
2021-06-01 12:00:00,2553.45,2624.84,2624.78,2557.5,13773.62192651
2021-06-01 13:00:00,2528.04,2663.89,2557.5,2634.39,33182.03489687
2021-06-01 14:00:00,2576.24,2644.12,2634.4,2591.92,15922.08242066
2021-06-01 15:00:00,2543.36,2591.71,2591.71,2568.71,11984.15726164
2021-06-01 16:00:00,2532.28,2588.1,2568.71,2542.53,15371.91069912
2021-06-01 17:00:00,2527.88,2568.5,2541.55,2557.97,12265.84102638
2021-06-01 18:00:00,2555.0,2584.0,2557.97,2577.37,16948.42245013
2021-06-01 19:00:00,2528.5,2577.73,2577.67,2543.55,12983.8304947
2021-06-01 20:00:00,2537.0,2581.01,2543.84,2579.48,10884.10207545
2021-06-01 21:00:00,2561.01,2601.0,2579.83,2599.86,7863.3891941
2021-06-01 22:00:00,2573.35,2615.69,2599.85,2586.82,12317.05506257
2021-06-01 23:00:00,2586.74,2649.0,2586.75,2634.42,13171.65173085
2021-06-02 00:00:00,2580.77,2649.0,2634.46,2585.9,13900.56271129
2021-06-02 01:00:00,2552.28,2600.0,2585.9,2589.27,11579.70433019
2021-06-02 02:00:00,2574.86,2619.22,2590.7,2593.39,7950.84337556
2021-06-02 03:00:00,2591.49,2642.49,2592.63,2615.88,10970.23469525
2021-06-02 04:00:00,2615.37,2646.02,2615.58,2623.99,6596.26795684
2021-06-02 05:00:00,2608.4,2644.44,2624.08,2638.48,6499.08660082
2021-06-02 06:00:00,2629.02,2657.97,2638.48,2633.56,7932.48330625
2021-06-02 07:00:00,2633.1,2708.0,2633.71,2692.41,13005.62467079
2021-06-02 08:00:00,2676.17,2714.48,2692.41,2712.87,7550.13197683
2021-06-02 09:00:00,2680.69,2720.0,2714.55,2685.54,6736.19466329
2021-06-02 10:00:00,2671.57,2703.07,2685.67,2681.37,5845.22462212
2021-06-02 11:00:00,2661.23,2704.23,2681.08,2695.45,7902.19030894
2021-06-02 12:00:00,2692.53,2718.58,2695.44,2701.81,14003.0464438
2021-06-02 13:00:00,2682.01,2755.0,2701.81,2732.48,22530.78720962
2021-06-02 14:00:00,2719.33,2781.89,2733.16,2767.96,16996.98006108
2021-06-02 15:00:00,2766.13,2799.5,2767.95,2791.68,18590.18234842
2021-06-02 16:00:00,2744.44,2803.0,2792.16,2760.47,19262.15127081
2021-06-02 17:00:00,2738.0,2773.12,2760.35,2770.55,13817.5804235
2021-06-02 18:00:00,2751.0,2775.98,2770.62,2773.24,9410.48195908
2021-06-02 19:00:00,2750.32,2779.61,2772.98,2759.16,11260.12005912
2021-06-02 20:00:00,2716.01,2764.39,2758.79,2723.17,8765.95700545
2021-06-02 21:00:00,2714.01,2737.61,2723.17,2720.01,6089.18187862
2021-06-02 22:00:00,2674.69,2730.99,2719.23,2697.9,13749.27243697
2021-06-02 23:00:00,2689.25,2722.82,2697.79,2706.64,7809.6442842
2021-06-03 00:00:00,2685.44,2728.0,2706.87,2706.41,9084.20931976
2021-06-03 01:00:00,2666.93,2718.91,2706.4,2672.48,8196.79966657
2021-06-03 02:00:00,2663.02,2700.21,2672.48,2696.84,6505.08780707
2021-06-03 03:00:00,2689.19,2728.59,2696.66,2726.81,7183.43639613
2021-06-03 04:00:00,2725.0,2772.35,2726.82,2765.13,8134.6220792
2021-06-03 05:00:00,2765.67,2824.66,2765.79,2817.23,15994.74213607
2021-06-03 06:00:00,2796.0,2849.34,2817.23,2847.63,11894.90950826
2021-06-03 07:00:00,2807.65,2849.99,2847.64,2821.34,7250.4906744
2021-06-03 08:00:00,2810.01,2850.0,2821.45,2836.47,5772.82245125
2021-06-03 09:00:00,2828.03,2875.0,2836.46,2874.6,7224.20060813
2021-06-03 10:00:00,2863.02,2890.0,2874.6,2875.38,12643.31115586
2021-06-03 11:00:00,2801.0,2881.06,2875.82,2808.0,18020.35264719
2021-06-03 12:00:00,2772.27,2838.81,2808.7,2829.78,20011.56428008
2021-06-03 13:00:00,2764.03,2847.14,2829.79,2779.25,19197.12924831
2021-06-03 14:00:00,2764.78,2804.42,2778.7,2793.55,10667.57576775
2021-06-03 15:00:00,2778.13,2820.0,2793.54,2790.07,11827.43524034
2021-06-03 16:00:00,2780.56,2840.0,2790.01,2833.07,10484.35715453
2021-06-03 17:00:00,2821.16,2850.0,2832.98,2823.18,9469.32326058
2021-06-03 18:00:00,2785.0,2837.15,2823.12,2791.45,13751.8653451
2021-06-03 19:00:00,2782.18,2805.0,2791.11,2793.19,5525.58053474
2021-06-03 20:00:00,2790.11,2824.52,2793.09,2823.22,6020.99084669
2021-06-03 21:00:00,2810.58,2846.8,2823.0,2818.68,7416.28804234
2021-06-03 22:00:00,2815.13,2850.0,2818.68,2834.68,9197.0986342
2021-06-03 23:00:00,2824.04,2873.0,2834.85,2856.68,12761.69887126
2021-06-04 00:00:00,2793.61,2859.85,2856.73,2812.23,13410.30458303
2021-06-04 01:00:00,2700.01,2812.9,2812.89,2738.49,36034.13316205
2021-06-04 02:00:00,2683.0,2739.18,2738.5,2736.0,17184.20191219
2021-06-04 03:00:00,2720.94,2769.28,2736.0,2755.45,12233.83112306
2021-06-04 04:00:00,2720.0,2766.97,2755.45,2723.31,7332.12379123
2021-06-04 05:00:00,2643.1,2738.46,2723.02,2657.84,19709.42595651
2021-06-04 06:00:00,2609.58,2680.8,2656.47,2627.93,11962.21014571
2021-06-04 07:00:00,2587.53,2645.0,2627.93,2620.23,12148.35912632
2021-06-04 08:00:00,2588.22,2644.78,2620.45,2624.12,7992.48930651
2021-06-04 09:00:00,2594.75,2653.18,2624.17,2653.18,7452.33373533
2021-06-04 10:00:00,2623.42,2667.94,2653.5,2624.01,5435.64341234
2021-06-04 11:00:00,2611.16,2640.64,2624.01,2625.76,7092.76983529
2021-06-04 12:00:00,2554.39,2659.51,2625.76,2645.13,29812.09364629
2021-06-04 13:00:00,2629.04,2676.25,2645.14,2656.14,9810.62325545
2021-06-04 14:00:00,2606.54,2660.02,2655.82,2646.62,14750.86671777
2021-06-04 15:00:00,2636.58,2667.48,2647.02,2660.71,8338.24244328
2021-06-04 16:00:00,2653.59,2684.63,2660.52,2665.75,10058.5417938
2021-06-04 17:00:00,2650.56,2714.77,2665.75,2692.35,11011.48597415
2021-06-04 18:00:00,2680.15,2710.0,2692.35,2703.83,6719.55878957
2021-06-04 19:00:00,2666.83,2714.98,2703.85,2683.87,8166.59272703
2021-06-04 20:00:00,2683.1,2711.87,2683.31,2702.73,6104.54383148
2021-06-04 21:00:00,2702.74,2741.4,2702.74,2735.0,11524.29767852
2021-06-04 22:00:00,2715.0,2740.86,2735.25,2717.78,5653.89321842
2021-06-04 23:00:00,2652.16,2729.47,2717.66,2690.68,14528.39327747
2021-06-05 00:00:00,2674.76,2778.7,2691.13,2769.91,14551.30670495
2021-06-05 01:00:00,2745.01,2774.0,2769.57,2761.93,8096.31036136
2021-06-05 02:00:00,2748.0,2774.0,2761.93,2764.46,5873.20046687
2021-06-05 03:00:00,2754.41,2782.0,2764.35,2764.53,4464.98785102
2021-06-05 04:00:00,2762.25,2790.49,2765.0,2785.71,4803.3549701
2021-06-05 05:00:00,2754.26,2794.99,2785.54,2773.27,4868.93606168
2021-06-05 06:00:00,2767.0,2788.61,2773.21,2781.51,3486.01899701
2021-06-05 07:00:00,2778.38,2813.0,2781.5,2782.06,6798.35869591
2021-06-05 08:00:00,2771.13,2814.67,2782.49,2810.16,4296.51819064
2021-06-05 09:00:00,2661.13,2816.92,2809.51,2706.67,15341.8936753
2021-06-05 10:00:00,2682.12,2730.05,2706.1,2710.01,8545.87475987
2021-06-05 11:00:00,2626.01,2717.85,2709.21,2641.0,14704.74837307
2021-06-05 12:00:00,2600.5,2665.1,2642.08,2644.26,18101.19304564
2021-06-05 13:00:00,2612.0,2649.36,2642.35,2617.19,9993.46077682
2021-06-05 14:00:00,2595.31,2638.41,2618.28,2599.12,13929.15338103
2021-06-05 15:00:00,2581.15,2660.0,2598.79,2655.64,15496.07240205
2021-06-05 16:00:00,2615.83,2657.06,2655.65,2628.1,9163.65136434
2021-06-05 17:00:00,2610.37,2642.29,2628.57,2620.52,6434.57393521
2021-06-05 18:00:00,2608.05,2638.06,2620.94,2626.94,6026.27764427
2021-06-05 19:00:00,2600.0,2639.57,2626.87,2604.44,7024.90862402
2021-06-05 20:00:00,2600.0,2646.19,2604.43,2633.24,7240.1101385
2021-06-05 21:00:00,2552.18,2633.99,2633.24,2563.76,17830.11452709
2021-06-05 22:00:00,2557.05,2595.41,2563.69,2576.56,12410.16316054
2021-06-05 23:00:00,2575.38,2636.1,2576.03,2629.75,8662.52025963
2021-06-06 00:00:00,2615.0,2639.15,2629.45,2630.89,6691.66807652
2021-06-06 01:00:00,2630.8,2690.01,2630.8,2688.21,9410.6458438
